Family_ICTV	host_ICTV	size_kb_ICTV	topology_ICTV	host_ICTV_simple
Abyssoviridae	invertebrates	35.9-40.0	1 linear segment	invertebrates
Ackermannviridae	bacteria	143.2-164.1	1 linear segment	bacteria
Adamaviridae	invertebrates, vertebrates	1.7-4.1	1-3 circular segments	incl-vertebrates
Adenoviridae	vertebrates	24.6-48.4	1 linear segment	vertebrates
Aggregaviridae	bacteria	43.1-43.2	1 segment	bacteria
Ahmunviridae	archaea	41.5-41.6	1 segment	archaea
Ahpuchviridae	archaea	71.0.71.1	1 segment	archaea
Aliceevansviridae	bacteria	32.0-45.7	1 linear segment	bacteria
Alisviridae	bacteria	33.2-35.3	1 linear segment	bacteria
Aliusviridae	invertebrates	9.8-15.3	1 linear segment	invertebrates
Alloherpesviridae	vertebrates	134.2-295.2	1 linear segment	vertebrates
Allomimiviridae	protists	609.6-668.1	1 circular segment	protists
Alphaflexiviridae	fungi, plants	5.4-8.9	1 linear segment	non-vertebrates
Alphagokushoviridae	bacteria	4.4-5.9	1 circular segment	bacteria
Alphaormycoviridae	protists	4.0-5.0	2 linear segments	protists
Alphasatellitidae	plants, invertebrates	0.9-1.6	1 circular segment	non-vertebrates
Alphatetraviridae	invertebrates	6.6-8.0	1-2 linear segments	invertebrates
Alternaviridae	fungi	8.4-10.9	3-4 linear segments	fungi
Altumviridae	archaea	48.0-56.0	1 linear segment	archaea
Alvernaviridae	protists	4.3-4.4	1 linear segment	protists
Amalgaviridae	fungi, plants	2.8-3.5	1 linear segment	non-vertebrates
Ambiguiviridae	fungi, plants	2.5-7.5	1 segment	non-vertebrates
Amesuviridae	plants	2.7-3.5	1 circular segment	plants
Amnoonviridae	vertebrates	10.3-10.4	10 linear segments	vertebrates
Ampullaviridae	archaea	22.6-28.5	1 linear segment	archaea
Anaerodiviridae	archaea	37.1-37.2	1 linear segment	archaea
Anamaviridae	bacteria	43.9-49.7	1 linear segment	bacteria
Andersonviridae	bacteria	78.3-92.1	1 linear segment	bacteria
Anelloviridae	invertebrates, vertebrates	1.7-4.0	1 circular segment	incl-vertebrates
Anicreviridae	invertebrates, vertebrates	1.9-2.5	1 circular segment	incl-vertebrates
Aoguangviridae	archaea	92.2-92.3	1 linear segment	archaea
Apasviridae	archaea	108.2-108.3	1 linear segment	archaea
Arenaviridae	vertebrates	9.2-17.9	2-3 linear segments	vertebrates
Arenbergviridae	bacteria	286.7-286.8	1 linear segment	bacteria
Armatusviridae	archaea	51.1-51.2	1 linear segment	archaea
Arteriviridae	vertebrates	12.7-15.8	1 linear segment	vertebrates
Artiviridae	invertebrates	6.7-8.3	1 linear segment	invertebrates
Artoviridae	plants, invertebrates	10.5-12.5	1 linear segment	non-vertebrates
Ascoviridae	invertebrates	119.3-199.8	1 circular segment	invertebrates
Asemoviridae	bacteria	10.0-10.6	1 circular segment	bacteria
Asfarviridae	invertebrates, vertebrates	170.1-193.9	1 linear segment	incl-vertebrates
Aspiviridae	plants	10.6-12.5	3-4 linear segments	plants
Assalcaviridae	archaea	41.9-42.0	1 linear segment	archaea
Assiduviridae	bacteria	53.3-57.5	1 linear segment	bacteria
Astroviridae	vertebrates	6.1-7.8	1 linear segment	vertebrates
Atkinsviridae	bacteria	3.3-4.7	1 linear segment	bacteria
Autolykiviridae	bacteria	10.0-10.7	1 linear segment	bacteria
Autonotataviridae	bacteria	30.7-45.0	1 linear segment	bacteria
Autoscriptoviridae	bacteria	35.5-49.4	1 linear segment	bacteria
